Sub Name,To Sub Name,Product ID,Customer Device,GC Version,PO,Lot ID,Wafer ID,Lot State,Stage,Current Wafer Qty,Projected Out Date,Commit Date,Wafer Start Date,Total Layers,Rem. Layers,CanSemi Fab,Gross Die,Lot Type
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020122105,A005107,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",Active,CT-STRIP,25,2021/2/27 0:00,2021/2/27 0:00,2021/1/15 9:02,26,7,GZ 300MM FAB1,5889,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020122105,A005106,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",Active,CT-STRIP,25,2021/2/27 0:00,2021/2/27 0:00,2021/1/14 12:00,26,7,GZ 300MM FAB1,5889,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020122105,A005093,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",Active,SPACER-SIN,25,2021/3/7 0:00,2021/3/7 0:00,2021/1/14 11:58,26,11,GZ 300MM FAB1,5889,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020122105,A005092,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",Active,P1-DARC,25,2021/3/7 0:00,2021/3/7 0:00,2021/1/14 11:57,26,16,GZ 300MM FAB1,5889,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020122105,A005091,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",Active,CTGL-DEP,25,2021/2/25 0:00,2021/2/25 0:00,2021/1/14 9:02,26,7,GZ 300MM FAB1,5889,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020122105,A005090,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",Active,CT-STRIP,25,2021/2/25 0:00,2021/2/25 0:00,2021/1/14 9:01,26,7,GZ 300MM FAB1,5889,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020122105,A005089,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",Active,CT-STRIP,25,2021/2/25 0:00,2021/2/25 0:00,2021/1/14 9:00,26,7,GZ 300MM FAB1,5889,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020122105,A005088,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",Active,CTGL-ANN,25,2021/2/25 0:00,2021/2/25 0:00,2021/1/14 9:00,26,7,GZ 300MM FAB1,5889,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020122105,A005087,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",Active,CTW-DEP,25,2021/2/25 0:00,2021/2/25 0:00,2021/1/14 8:59,26,7,GZ 300MM FAB1,5889,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020122105,A005086,"#01,02,04,05,06,07,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",Active,CTW-DEP,23,2021/2/25 0:00,2021/2/25 0:00,2021/1/14 8:58,26,7,GZ 300MM FAB1,5889,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020122105,A005085,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",Active,CT-STRIP,25,2021/2/25 0:00,2021/2/25 0:00,2021/1/14 8:57,26,7,GZ 300MM FAB1,5889,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020122105,A005084,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",Active,CTW-DEP,25,2021/2/25 0:00,2021/2/25 0:00,2021/1/14 8:57,26,7,GZ 300MM FAB1,5889,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020122105,A005083,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",Active,P1-DARC,25,2021/3/6 0:00,2021/3/6 0:00,2021/1/14 8:56,26,16,GZ 300MM FAB1,5889,PP
CanSemi,,C00007D,GC02M1-1,D,ZJGC-2020122105,A005105,"#01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25",Active,PLDD2-IMP,25,2021/3/8 0:00,2021/3/8 0:00,2021/1/13 19:14,26,12,GZ 300MM FAB1,5889,PP
