供应商,PO_NO,产品型号,二级代码,LOT_ID,WAFER_ID,WAFER_QTY,站点,状态,DIE_NUM,ACTION_TIME,LOT_TYPE,EQPTID,特殊品/真空包备注,等级,WO_NO,ROUTE_ID,属性,仓库,FAB_DEVICE,NOTE
HL,,GC02M1BO-WC1X0-2.1,EOBB,A002958.01,11,1,HOLD,INV,1060,2019/12/6,ENG,INV,,A,WO_190930017,,SH,ZJ,S5KTJBGX03-7,
HL,,GC02M1BO-WC1X0-2.1,EOBB,A002958.01,12,1,HOLD,INV,1060,2019/12/6,ENG,INV,,A,WO_190930017,,SH,ZJ,S5KTJBGX03-7,
HL,,GC02M1BO-WC1X0-2.1,EOBB,A002958.01,13,1,HOLD,INV,1060,2019/12/6,ENG,INV,,A,WO_190930017,,SH,ZJ,S5KTJBGX03-7,
HL,,GC02M1BO-WC1X0-2.1,EOBB,A002958.01,14,1,HOLD,INV,1060,2019/12/6,ENG,INV,,A,WO_190930017,,SH,ZJ,S5KTJBGX03-7,
HL,,GC02M1BO-WC1X0-2.1,EOBB,A002958.01,15,1,HOLD,INV,1060,2019/12/6,ENG,INV,,A,WO_190930017,,SH,ZJ,S5KTJBGX03-7,
HL,,GC02M1BO-WC1X0-2.1,EOBB,A002958.01,16,1,HOLD,INV,1060,2019/12/6,ENG,INV,,A,WO_190930017,,SH,ZJ,S5KTJBGX03-7,
HL,,GC02M1BO-WC1X0-2.1,EOBB,A002958.01,17,1,HOLD,INV,1060,2019/12/6,ENG,INV,,A,WO_190930017,,SH,ZJ,S5KTJBGX03-7,
HL,,GC02M1BO-WC1X0-2.1,EOBB,A002958.01,18,1,HOLD,INV,1060,2019/12/6,ENG,INV,,A,WO_190930017,,SH,ZJ,S5KTJBGX03-7,
HL,,GC02M1BO-WC1X0-2.1,EOBB,A002958.01,19,1,HOLD,INV,1060,2019/12/6,ENG,INV,,A,WO_190930017,,SH,ZJ,S5KTJBGX03-7,
HL,,GC02M1BO-WC1X0-2.1,EOBB,A002958.01,20,1,HOLD,INV,1060,2019/12/6,ENG,INV,,A,WO_190930017,,SH,ZJ,S5KTJBGX03-7,
HL,,GC02M1BO-WC1X0-2.1,EOBB,A002958.01,21,1,HOLD,INV,1060,2019/12/6,ENG,INV,,A,WO_190930017,,SH,ZJ,S5KTJBGX03-7,
HL,,GC02M1BO-WC1X0-2.1,EOBB,A002958.01,22,1,INV,INV,1060,2019/12/6,ENG,INV,,A,WO_190930017,,SH,ZJ,S5KTJBGX03-7,
HL,,GC02M1BO-WC1X0-2.1,EOBB,A002958.01,23,1,INV,INV,1060,2019/12/6,ENG,INV,,A,WO_190930017,,SH,ZJ,S5KTJBGX03-7,
HL,,GC02M1BO-WC1X0-2.1,EOBB,A002958.01,24,1,INV,INV,1060,2019/12/6,ENG,INV,,A,WO_190930017,,SH,ZJ,S5KTJBGX03-7,
HL,,GC02M1BO-WC1X0-2.1,EOBB,A002958.01,25,1,INV,INV,1060,2019/12/6,ENG,INV,,A,WO_190930017,,SH,ZJ,S5KTJBGX03-7,
